tfnsw_unique_id,tfnsw_table_row,tfnsw_raw_station_address,tfnsw_cleaned_station_address,tfnsw_raw_postcode,tfnsw_cleaned_postcode,source_index,Station_name,Station_address,Operator,Number_of_plugs,Charger_Type,Charger_rating,Latitude,Longitude,LGANAME,PCODE,Source,ocm_status,ocm_method,ocm_distance_m,ocm_address_score,ocm_id,ocm_address,ocm_attributes,osm_all_status,osm_all_method,osm_all_distance_m,osm_all_address_score,osm_all_id,osm_all_address,osm_all_attributes,osm_fast_dc_status,osm_fast_dc_method,osm_fast_dc_distance_m,osm_fast_dc_address_score,osm_fast_dc_id,osm_fast_dc_address,osm_fast_dc_attributes,chargelarge_all_status,chargelarge_all_method,chargelarge_all_distance_m,chargelarge_all_address_score,chargelarge_all_id,chargelarge_all_address,chargelarge_all_attributes,chargelarge_fast_dc_status,chargelarge_fast_dc_method,chargelarge_fast_dc_distance_m,chargelarge_fast_dc_address_score,chargelarge_fast_dc_id,chargelarge_fast_dc_address,chargelarge_fast_dc_attributes,combined_broad_status,combined_dc_indicated_status,matched_source,matched_source_count,coordinate_supported_source,coordinate_supported_source_count,address_only_source,matched_external_ids,matched_external_addresses,minimum_match_distance_m,augmentation_attributes_by_source,augmentation_attribute_count,has_new_attributes,match_method_summary,manual_review_reason,manual_review_required,manual_review_status,manual_review_decision,final_audit_status,final_audit_confidence,match_source,match_method,external_id,external_address,match_distance_m,address_score,augmented_attributes,confidence,web_evidence_url,web_evidence_confidence,web_evidence_confidence_reason,match_identity_decision,evidence_screened_status,evidence_screened_reason,ocm_evidence_url,osm_evidence_url,chargelarge_evidence_url
TFNSW-0003,3,"01 Wallgrove Road, Sydney, 2766","01 Wallgrove Road, Sydney NSW 2766",2766,2766,1,,"01 Wallgrove Road, Sydney NSW 2766",BP,4,DC,150 kW,-33.81100405,150.8495966,Blacktown City Council,2766.0,Existing Fast Chargers,accepted,coordinate_500m,65.13844654951765,0.6067567567567569,272521.0,"BP Truckstop, Wallgrove Road & Old Wallgrove Road, Eastern Creek, New South Wales, 2766","{""charger_capacities"": ""75 kW"", ""number_of_plugs"": 2.0, ""operator"": ""BP Pulse (AU)"", ""plug_types"": ""CCS (Type 2)""}",accepted,coordinate_500m,65.7981731432385,0.0,10590006365.0,,"{""access_condition"": ""Free Access"", ""charger_capacities"": null, ""number_of_plugs"": 2, ""opening_hours"": """", ""operator"": ""bp pulse"", ""osm_last_updated"": ""2025-08-12"", ""plug_types"": ""CCS""}",accepted,coordinate_500m,65.7981731432385,0.0,10590006365.0,,"{""access_condition"": ""Free Access"", ""charger_capacities"": null, ""number_of_plugs"": 2, ""opening_hours"": """", ""operator"": ""bp pulse"", ""osm_last_updated"": ""2025-08-12"", ""plug_types"": ""CCS""}",unmatched,unmatched,,,,,{},unmatched,unmatched,,,,,{},accepted,accepted,OCM;OSM,2,OCM;OSM,2,,OCM:272521.0;OSM:10590006365.0,"OCM:BP Truckstop, Wallgrove Road & Old Wallgrove Road, Eastern Creek, New South Wales, 2766",65.13844654951765,"{""OCM::charger_capacities"": ""75 kW"", ""OCM::number_of_plugs"": 2.0, ""OCM::operator"": ""BP Pulse (AU)"", ""OCM::plug_types"": ""CCS (Type 2)"", ""OSM::access_condition"": ""Free Access"", ""OSM::number_of_plugs"": 2, ""OSM::operator"": ""bp pulse"", ""OSM::osm_last_updated"": ""2025-08-12"", ""OSM::plug_types"": ""CCS""}",9,True,OCM:coordinate_500m;OSM:coordinate_500m,,no,not_required_for_initial_auto_rule,,accepted_coordinate_supported,high,OCM;OSM,OCM:coordinate_500m;OSM:coordinate_500m,OCM:272521.0;OSM:10590006365.0,"OCM:BP Truckstop, Wallgrove Road & Old Wallgrove Road, Eastern Creek, New South Wales, 2766",65.13844654951765,0.6067567567567569,"{""OCM::charger_capacities"": ""75 kW"", ""OCM::number_of_plugs"": 2.0, ""OCM::operator"": ""BP Pulse (AU)"", ""OCM::plug_types"": ""CCS (Type 2)"", ""OSM::access_condition"": ""Free Access"", ""OSM::number_of_plugs"": 2, ""OSM::operator"": ""bp pulse"", ""OSM::osm_last_updated"": ""2025-08-12"", ""OSM::plug_types"": ""CCS""}",high,https://www.chargeroute.au/chargers/nsw/bp-sydney-sydney,medium,"Charging evidence exists, but the page or address signal is incomplete.",web evidence only; same-station identity not automatically proven,provisionally_supported,High/medium web evidence retained provisionally.,https://openchargemap.org/site/poi/details/272521,https://www.openstreetmap.org/node/10590006365,
TFNSW-0004,4,"1 - 7 Ross St, Wilcannia NSW 2836, Australia","1 - 7 Ross Street, Wilcannia NSW 2836",2350,2350,2,,"1 - 7 Ross Street, Wilcannia NSW 2836",NRMA Electric,4,DC,50 kW,-30.5118739,151.669395,Central Darling Shire Council,2350.0,TfNSW Regional,accepted,coordinate_500m,29.225432401106143,0.6072327044025158,170824.0,"82 Marsh Street, Armidale, New South Wales, 2350","{""charger_capacities"": ""50 kW"", ""number_of_plugs"": 1.0, ""operator"": ""NRMA"", ""plug_types"": ""CCS (Type 2); CHAdeMO""}",accepted,coordinate_500m,29.526628596528383,0.0,8133502030.0,,"{""access_condition"": ""Free Access"", ""charger_capacities"": null, ""number_of_plugs"": 1, ""opening_hours"": """", ""operator"": ""NRMA"", ""osm_last_updated"": ""2022-12-15"", ""plug_types"": """"}",unmatched,unmatched,,,,,{},accepted,coordinate_500m,421.7154627740981,0.4081176470588236,15d06bf5-6b4a-425d-9312-bae4b17cc22b-2444,"12 Cinders Ln, Armidale, NSW 2350","{""charger_capacities"": 150.0, ""number_of_plugs"": 4, ""operator"": """", ""plug_types"": ""CCS2"", ""status_counts"": ""{\""Available\"": 1, \""OutOfService\"": 3}""}",accepted,coordinate_500m,421.7154627740981,0.4081176470588236,15d06bf5-6b4a-425d-9312-bae4b17cc22b-2444,"12 Cinders Ln, Armidale, NSW 2350","{""charger_capacities"": 150.0, ""number_of_plugs"": 4, ""operator"": """", ""plug_types"": ""CCS2"", ""status_counts"": ""{\""Available\"": 1, \""OutOfService\"": 3}""}",accepted,accepted,OCM;Charge@Large,2,OCM;Charge@Large,2,,OCM:170824.0;Charge@Large:15d06bf5-6b4a-425d-9312-bae4b17cc22b-2444,"OCM:82 Marsh Street, Armidale, New South Wales, 2350;Charge@Large:12 Cinders Ln, Armidale, NSW 2350",29.225432401106143,"{""Charge@Large::charger_capacities"": 150.0, ""Charge@Large::number_of_plugs"": 4, ""Charge@Large::plug_types"": ""CCS2"", ""Charge@Large::status_counts"": ""{\""Available\"": 1, \""OutOfService\"": 3}"", ""OCM::charger_capacities"": ""50 kW"", ""OCM::number_of_plugs"": 1.0, ""OCM::operator"": ""NRMA"", ""OCM::plug_types"": ""CCS (Type 2); CHAdeMO""}",8,True,OCM:coordinate_500m;Charge@Large:coordinate_500m,,no,not_required_for_initial_auto_rule,,accepted_coordinate_supported,high,OCM;Charge@Large,OCM:coordinate_500m;Charge@Large:coordinate_500m,OCM:170824.0;Charge@Large:15d06bf5-6b4a-425d-9312-bae4b17cc22b-2444,"OCM:82 Marsh Street, Armidale, New South Wales, 2350;Charge@Large:12 Cinders Ln, Armidale, NSW 2350",29.225432401106143,0.6072327044025158,"{""Charge@Large::charger_capacities"": 150.0, ""Charge@Large::number_of_plugs"": 4, ""Charge@Large::plug_types"": ""CCS2"", ""Charge@Large::status_counts"": ""{\""Available\"": 1, \""OutOfService\"": 3}"", ""OCM::charger_capacities"": ""50 kW"", ""OCM::number_of_plugs"": 1.0, ""OCM::operator"": ""NRMA"", ""OCM::plug_types"": ""CCS (Type 2); CHAdeMO""}",high,https://www.plugroo.com.au/nsw/wilcannia,medium,"Charging evidence exists, but the page or address signal is incomplete.",web evidence only; same-station identity not automatically proven,provisionally_supported,High/medium web evidence retained provisionally.,https://openchargemap.org/site/poi/details/170824,,https://chargeatlarge.app/
TFNSW-0007,7,"1 Bay St, Sydney, 2037","1 Bay Street, Sydney NSW 2037",2037,2037,5,,"1 Bay Street, Sydney NSW 2037",Tesla,16,DC,130 kW,-33.88350355,151.1944334,"Sydney, Council of the City of",2037.0,Existing Fast Chargers,accepted,coordinate_500m,19.442848782107593,0.7928571428571429,311308.0,"1 Bay Street, Broadway, NSW, 2007","{""charger_capacities"": ""22 kW"", ""number_of_plugs"": 3.0, ""operator"": ""Tesla (including non-tesla)"", ""plug_types"": ""CCS (Type 2)""}",accepted,coordinate_500m,66.31887271012747,0.0,5438383393.0,,"{""access_condition"": ""Free Access"", ""charger_capacities"": null, ""number_of_plugs"": 8, ""opening_hours"": ""24/7"", ""operator"": ""Tesla"", ""osm_last_updated"": ""2026-03-29"", ""plug_types"": """"}",unmatched,unmatched,,,,,{},accepted,coordinate_500m,307.9174714299631,0.4035294117647059,d1cbdd86-205d-4538-b287-34032bf74788-ibxdE7VEtpT7LdkriyIUSgVk-paThlG_iOPe,"2 Buckland St, Chippendale, NSW 2008","{""charger_capacities"": 22.0, ""number_of_plugs"": 1, ""operator"": """", ""plug_types"": ""Type2"", ""status_counts"": ""{\""Available\"": 1}""}",unmatched,unmatched,,,,,{},accepted,accepted,OCM,1,OCM,1,,OCM:311308.0,"OCM:1 Bay Street, Broadway, NSW, 2007",19.442848782107593,"{""OCM::charger_capacities"": ""22 kW"", ""OCM::number_of_plugs"": 3.0, ""OCM::operator"": ""Tesla (including non-tesla)"", ""OCM::plug_types"": ""CCS (Type 2)""}",4,True,OCM:coordinate_500m,,no,not_required_for_initial_auto_rule,,accepted_coordinate_supported,high,OCM,OCM:coordinate_500m,OCM:311308.0,"OCM:1 Bay Street, Broadway, NSW, 2007",19.442848782107593,0.7928571428571429,"{""OCM::charger_capacities"": ""22 kW"", ""OCM::number_of_plugs"": 3.0, ""OCM::operator"": ""Tesla (including non-tesla)"", ""OCM::plug_types"": ""CCS (Type 2)""}",high,https://ev-charging-stations.com.au/chargers/nsw/glebe,high,Opened charging page contains an address-level signal.,web evidence only; same-station identity not automatically proven,provisionally_supported,High/medium web evidence retained provisionally.,https://openchargemap.org/site/poi/details/311308,,
TFNSW-0008,8,"1 Bells Blvd, Kingscliff, 2487","1 Bells Boulevard, Kingscliff NSW 2487",2487,2487,6,,"1 Bells Boulevard, Kingscliff NSW 2487",Evie Networks,4,DC,75 kW,-28.27690295,153.5770781,Tweed Shire Council,2487.0,Existing Fast Chargers,unmatched,unmatched,,,,,{},unmatched,unmatched,,,,,{},unmatched,unmatched,,,,,{},unmatched,unmatched,,,,,{},unmatched,unmatched,,,,,{},unmatched,unmatched,,0,,0,,,,,{},0,False,,,no,not_matched,,unmatched,none,,,,,,,{},none,,none,,,not_screened,No accepted external match or no retained web review.,,,
TFNSW-0013,13,"1 Dalgal Way, Sydney, 2037","1 Dalgal Way, Sydney NSW 2037",2037,2037,11,,"1 Dalgal Way, Sydney NSW 2037",Tesla,4,DC,250 kW,-33.87650055,151.178,"Sydney, Council of the City of",2037.0,Existing Fast Chargers,unmatched,unmatched,,,,,{},accepted,coordinate_500m,26.33719187131462,0.0,6965052432.0,,"{""access_condition"": ""Free Access"", ""charger_capacities"": null, ""number_of_plugs"": 4, ""opening_hours"": """", ""operator"": ""Tesla"", ""osm_last_updated"": ""2025-08-12"", ""plug_types"": ""CCS""}",accepted,coordinate_500m,26.33719187131462,0.0,6965052432.0,,"{""access_condition"": ""Free Access"", ""charger_capacities"": null, ""number_of_plugs"": 4, ""opening_hours"": """", ""operator"": ""Tesla"", ""osm_last_updated"": ""2025-08-12"", ""plug_types"": ""CCS""}",accepted,coordinate_500m,448.6645969500187,0.101696020874103,baaffa39-0adb-422e-a7bf-4b391d232b5d-110,"266 Johnston St, Annandale NSW 2038, Australi, Annandale, NSW 2038","{""charger_capacities"": 22.0, ""number_of_plugs"": 1, ""operator"": """", ""plug_types"": ""Type2"", ""status_counts"": ""{\""Charging\"": 1}""}",unmatched,unmatched,,,,,{},accepted,accepted,OSM,1,OSM,1,,OSM:6965052432.0,,26.33719187131462,"{""OSM::access_condition"": ""Free Access"", ""OSM::number_of_plugs"": 4, ""OSM::operator"": ""Tesla"", ""OSM::osm_last_updated"": ""2025-08-12"", ""OSM::plug_types"": ""CCS""}",5,True,OSM:coordinate_500m,,no,not_required_for_initial_auto_rule,,accepted_coordinate_supported,high,OSM,OSM:coordinate_500m,OSM:6965052432.0,,26.33719187131462,0.0,"{""OSM::access_condition"": ""Free Access"", ""OSM::number_of_plugs"": 4, ""OSM::operator"": ""Tesla"", ""OSM::osm_last_updated"": ""2025-08-12"", ""OSM::plug_types"": ""CCS""}",high,https://www.chargeroute.au/chargers/nsw/tesla-sydney-sydney-3,medium,"Charging evidence exists, but address/page confirmation is incomplete.",web evidence only; same-station identity not automatically proven,provisionally_supported,High/medium web evidence retained provisionally.,,https://www.openstreetmap.org/node/6965052432,
TFNSW-0018,18,"1 Frederick St, Sydney, 2064","1 Frederick Street, Sydney NSW 2064",2064,2064,16,,"1 Frederick Street, Sydney NSW 2064",Evie Networks,6,DC,150 kW,-33.81707912,151.1889369,Willoughby City Council,2064.0,Existing Fast Chargers,accepted,coordinate_500m,157.01557144383443,0.35,272613.0,"65 Reserve Road, St Leonards, New South Wales, 2065","{""charger_capacities"": ""22 kW"", ""number_of_plugs"": 1.0, ""operator"": ""Chargefox"", ""plug_types"": ""CCS (Type 2); CHAdeMO""}",unmatched,unmatched,,,,,{},unmatched,unmatched,,,,,{},accepted,coordinate_500m,92.58060399570518,0.6590909090909092,ac6d79e9-3d3d-4a6b-a3b2-99a06fe51e25-82,"12 Frederick St, St Leonards NSW 2065, Austra, St Leonards, NSW 2065","{""charger_capacities"": 22.0, ""number_of_plugs"": 2, ""operator"": """", ""plug_types"": ""Type2"", ""status_counts"": ""{\""Available\"": 2}""}",accepted,coordinate_500m,480.3922950434038,0.324074074074074,393dc550-5791-46d3-a359-20e9e5b406b3-6788b95616c263b357a1ec99,"18/39 Herbert Street, St Leonards, NSW 2065","{""charger_capacities"": 25.0, ""number_of_plugs"": 2, ""operator"": """", ""plug_types"": ""CCS2|CHAdeMO"", ""status_counts"": ""{\""Available\"": 2}""}",accepted,accepted,OCM;Charge@Large,2,OCM;Charge@Large,2,,OCM:272613.0;Charge@Large:393dc550-5791-46d3-a359-20e9e5b406b3-6788b95616c263b357a1ec99,"OCM:65 Reserve Road, St Leonards, New South Wales, 2065;Charge@Large:18/39 Herbert Street, St Leonards, NSW 2065",157.01557144383443,"{""Charge@Large::charger_capacities"": 25.0, ""Charge@Large::number_of_plugs"": 2, ""Charge@Large::plug_types"": ""CCS2|CHAdeMO"", ""Charge@Large::status_counts"": ""{\""Available\"": 2}"", ""OCM::charger_capacities"": ""22 kW"", ""OCM::number_of_plugs"": 1.0, ""OCM::operator"": ""Chargefox"", ""OCM::plug_types"": ""CCS (Type 2); CHAdeMO""}",8,True,OCM:coordinate_500m;Charge@Large:coordinate_500m,,no,not_required_for_initial_auto_rule,,accepted_coordinate_supported,high,OCM;Charge@Large,OCM:coordinate_500m;Charge@Large:coordinate_500m,OCM:272613.0;Charge@Large:393dc550-5791-46d3-a359-20e9e5b406b3-6788b95616c263b357a1ec99,"OCM:65 Reserve Road, St Leonards, New South Wales, 2065;Charge@Large:18/39 Herbert Street, St Leonards, NSW 2065",157.01557144383443,0.35,"{""Charge@Large::charger_capacities"": 25.0, ""Charge@Large::number_of_plugs"": 2, ""Charge@Large::plug_types"": ""CCS2|CHAdeMO"", ""Charge@Large::status_counts"": ""{\""Available\"": 2}"", ""OCM::charger_capacities"": ""22 kW"", ""OCM::number_of_plugs"": 1.0, ""OCM::operator"": ""Chargefox"", ""OCM::plug_types"": ""CCS (Type 2); CHAdeMO""}",high,https://www.chargeroute.au/ev-chargers/nsw/sydney,high,Opened charging page contains an address-level signal.,web evidence only; same-station identity not automatically proven,provisionally_supported,High/medium web evidence retained provisionally.,https://openchargemap.org/site/poi/details/272613,,https://chargeatlarge.app/
TFNSW-0021,21,"1 Greenbridge Dr, Wilton, 2571","1 Greenbridge Drive, Wilton NSW 2571",2571,2571,19,,"1 Greenbridge Drive, Wilton NSW 2571",Chargefox,2,DC,160 kW,-34.22847652,150.6841562,Wollondilly Shire Council,2571.0,Existing Fast Chargers,unmatched,unmatched,,,,,{},accepted,coordinate_500m,2.9235762085473587,0.0,12624993541.0,,"{""access_condition"": ""Free Access"", ""charger_capacities"": null, ""number_of_plugs"": null, ""opening_hours"": """", ""operator"": ""Chargefox"", ""osm_last_updated"": ""2025-02-28"", ""plug_types"": ""CCS""}",accepted,coordinate_500m,2.9235762085473587,0.0,12624993541.0,,"{""access_condition"": ""Free Access"", ""charger_capacities"": null, ""number_of_plugs"": null, ""opening_hours"": """", ""operator"": ""Chargefox"", ""osm_last_updated"": ""2025-02-28"", ""plug_types"": ""CCS""}",unmatched,unmatched,,,,,{},unmatched,unmatched,,,,,{},accepted,accepted,OSM,1,OSM,1,,OSM:12624993541.0,,2.9235762085473587,"{""OSM::access_condition"": ""Free Access"", ""OSM::operator"": ""Chargefox"", ""OSM::osm_last_updated"": ""2025-02-28"", ""OSM::plug_types"": ""CCS""}",4,True,OSM:coordinate_500m,,no,not_required_for_initial_auto_rule,,accepted_coordinate_supported,high,OSM,OSM:coordinate_500m,OSM:12624993541.0,,2.9235762085473587,0.0,"{""OSM::access_condition"": ""Free Access"", ""OSM::operator"": ""Chargefox"", ""OSM::osm_last_updated"": ""2025-02-28"", ""OSM::plug_types"": ""CCS""}",high,https://www.plugroo.com.au/nsw/cordeaux,medium,"Charging evidence exists, but address/page confirmation is incomplete.",web evidence only; same-station identity not automatically proven,provisionally_supported,High/medium web evidence retained provisionally.,,https://www.openstreetmap.org/node/12624993541,
TFNSW-0025,25,"1 Ingham Dr, Casula NSW 2170","1 Ingham Drive, Casula NSW 2170",2170,2170,23,,"1 Ingham Drive, Casula NSW 2170",Evie Networks,4,DC,50 kW,-33.948829,150.90027,Liverpool City Council,2170.0,ARENA - Driving the Nation,accepted,coordinate_and_fuzzy_address,125.52341782379166,1.0,272688.0,"1 Ingham Dr, Casula, New South Wales, 2170","{""charger_capacities"": ""50 kW"", ""number_of_plugs"": 2.0, ""operator"": ""Evie"", ""plug_types"": ""CCS (Type 2); CHAdeMO""}",accepted,coordinate_500m,0.933305745046122,0.0,9863034303.0,,"{""access_condition"": ""Free Access"", ""charger_capacities"": null, ""number_of_plugs"": 2, ""opening_hours"": """", ""operator"": ""Evie Networks"", ""osm_last_updated"": ""2023-03-30"", ""plug_types"": ""CCS|CHAdeMO""}",accepted,coordinate_500m,0.933305745046122,0.0,9863034303.0,,"{""access_condition"": ""Free Access"", ""charger_capacities"": null, ""number_of_plugs"": 2, ""opening_hours"": """", ""operator"": ""Evie Networks"", ""osm_last_updated"": ""2023-03-30"", ""plug_types"": ""CCS|CHAdeMO""}",unmatched,unmatched,,,,,{},unmatched,unmatched,,,,,{},accepted,accepted,OCM;OSM,2,OCM;OSM,2,,OCM:272688.0;OSM:9863034303.0,"OCM:1 Ingham Dr, Casula, New South Wales, 2170",0.933305745046122,"{""OCM::charger_capacities"": ""50 kW"", ""OCM::number_of_plugs"": 2.0, ""OCM::operator"": ""Evie"", ""OCM::plug_types"": ""CCS (Type 2); CHAdeMO"", ""OSM::access_condition"": ""Free Access"", ""OSM::number_of_plugs"": 2, ""OSM::operator"": ""Evie Networks"", ""OSM::osm_last_updated"": ""2023-03-30"", ""OSM::plug_types"": ""CCS|CHAdeMO""}",9,True,OCM:coordinate_and_fuzzy_address;OSM:coordinate_500m,,no,not_required_for_initial_auto_rule,,accepted_coordinate_supported,high,OCM;OSM,OCM:coordinate_and_fuzzy_address;OSM:coordinate_500m,OCM:272688.0;OSM:9863034303.0,"OCM:1 Ingham Dr, Casula, New South Wales, 2170",0.933305745046122,1.0,"{""OCM::charger_capacities"": ""50 kW"", ""OCM::number_of_plugs"": 2.0, ""OCM::operator"": ""Evie"", ""OCM::plug_types"": ""CCS (Type 2); CHAdeMO"", ""OSM::access_condition"": ""Free Access"", ""OSM::number_of_plugs"": 2, ""OSM::operator"": ""Evie Networks"", ""OSM::osm_last_updated"": ""2023-03-30"", ""OSM::plug_types"": ""CCS|CHAdeMO""}",high,,local_two_rule_support,Both local matching rules passed; no individual web search was required by the audit plan.,local coordinate and fuzzy-address evidence agree,provisionally_supported,OCM coordinate and fuzzy-address evidence both passed.,https://openchargemap.org/site/poi/details/272688,https://www.openstreetmap.org/node/9863034303,
TFNSW-0029,29,"1 Little Walker St, Casino, NSW 2470, Australia","1 Little Walker Street, Casino NSW 2470",2622,2622,27,,"1 Little Walker Street, Casino NSW 2470",NRMA Electric,4,DC,50 kW,-35.442745,149.7913305,Richmond Valley Council,2622.0,TfNSW Regional,unmatched,unmatched,,,,,{},accepted,coordinate_500m,37.93703118299952,0.0,12644131941.0,,"{""access_condition"": ""Free Access"", ""charger_capacities"": null, ""number_of_plugs"": 2, ""opening_hours"": """", ""operator"": ""NRMA"", ""osm_last_updated"": ""2025-10-20"", ""plug_types"": ""CCS|CHAdeMO""}",accepted,coordinate_500m,37.93703118299952,0.0,12644131941.0,,"{""access_condition"": ""Free Access"", ""charger_capacities"": null, ""number_of_plugs"": 2, ""opening_hours"": """", ""operator"": ""NRMA"", ""osm_last_updated"": ""2025-10-20"", ""plug_types"": ""CCS|CHAdeMO""}",unmatched,unmatched,,,,,{},unmatched,unmatched,,,,,{},accepted,accepted,OSM,1,OSM,1,,OSM:12644131941.0,,37.93703118299952,"{""OSM::access_condition"": ""Free Access"", ""OSM::number_of_plugs"": 2, ""OSM::operator"": ""NRMA"", ""OSM::osm_last_updated"": ""2025-10-20"", ""OSM::plug_types"": ""CCS|CHAdeMO""}",5,True,OSM:coordinate_500m,,no,not_required_for_initial_auto_rule,,accepted_coordinate_supported,high,OSM,OSM:coordinate_500m,OSM:12644131941.0,,37.93703118299952,0.0,"{""OSM::access_condition"": ""Free Access"", ""OSM::number_of_plugs"": 2, ""OSM::operator"": ""NRMA"", ""OSM::osm_last_updated"": ""2025-10-20"", ""OSM::plug_types"": ""CCS|CHAdeMO""}",high,https://www.property.com.au/nsw/casino-2470/little-walker-st/1-pid-11965302/,low,"Generic, unrelated, or weak address/charging evidence.",web evidence only; same-station identity not automatically proven,not_screened,Low or insufficient web evidence; keep for manual review.,,https://www.openstreetmap.org/node/12644131941,
TFNSW-0037,37,"1 Park St, Sydney, 2103","1 Park Street, Sydney NSW 2103",2103,2103,35,,"1 Park Street, Sydney NSW 2103",JOLT,2,DC,25 kW,-33.67613618,151.3039429,Northern Beaches Council,2103.0,Existing Fast Chargers,accepted,coordinate_and_fuzzy_address,5.7225965348745085,0.9511111111111112,192929.0,"1 Park St, Mona Vale, NSW, 2103","{""charger_capacities"": ""25 kW"", ""number_of_plugs"": 1.0, ""operator"": ""Jolt"", ""plug_types"": ""CHAdeMO; CCS (Type 2)""}",accepted,coordinate_500m,15.388839462195332,0.0,9704706490.0,,"{""access_condition"": ""Free Access"", ""charger_capacities"": null, ""number_of_plugs"": 1, ""opening_hours"": ""24/7"", ""operator"": ""Jolt"", ""osm_last_updated"": ""2022-12-20"", ""plug_types"": ""CHAdeMO""}",accepted,coordinate_500m,15.388839462195332,0.0,9704706490.0,,"{""access_condition"": ""Free Access"", ""charger_capacities"": null, ""number_of_plugs"": 1, ""opening_hours"": ""24/7"", ""operator"": ""Jolt"", ""osm_last_updated"": ""2022-12-20"", ""plug_types"": ""CHAdeMO""}",unmatched,unmatched,,,,,{},unmatched,unmatched,,,,,{},accepted,accepted,OCM;OSM,2,OCM;OSM,2,,OCM:192929.0;OSM:9704706490.0,"OCM:1 Park St, Mona Vale, NSW, 2103",5.7225965348745085,"{""OCM::charger_capacities"": ""25 kW"", ""OCM::number_of_plugs"": 1.0, ""OCM::operator"": ""Jolt"", ""OCM::plug_types"": ""CHAdeMO; CCS (Type 2)"", ""OSM::access_condition"": ""Free Access"", ""OSM::number_of_plugs"": 1, ""OSM::opening_hours"": ""24/7"", ""OSM::operator"": ""Jolt"", ""OSM::osm_last_updated"": ""2022-12-20"", ""OSM::plug_types"": ""CHAdeMO""}",10,True,OCM:coordinate_and_fuzzy_address;OSM:coordinate_500m,,no,not_required_for_initial_auto_rule,,accepted_coordinate_supported,high,OCM;OSM,OCM:coordinate_and_fuzzy_address;OSM:coordinate_500m,OCM:192929.0;OSM:9704706490.0,"OCM:1 Park St, Mona Vale, NSW, 2103",5.7225965348745085,0.9511111111111112,"{""OCM::charger_capacities"": ""25 kW"", ""OCM::number_of_plugs"": 1.0, ""OCM::operator"": ""Jolt"", ""OCM::plug_types"": ""CHAdeMO; CCS (Type 2)"", ""OSM::access_condition"": ""Free Access"", ""OSM::number_of_plugs"": 1, ""OSM::opening_hours"": ""24/7"", ""OSM::operator"": ""Jolt"", ""OSM::osm_last_updated"": ""2022-12-20"", ""OSM::plug_types"": ""CHAdeMO""}",high,,local_two_rule_support,Both local matching rules passed; no individual web search was required by the audit plan.,local coordinate and fuzzy-address evidence agree,provisionally_supported,OCM coordinate and fuzzy-address evidence both passed.,https://openchargemap.org/site/poi/details/192929,https://www.openstreetmap.org/node/9704706490,
